L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
10,0.015,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.03,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.045,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.06,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.075,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.09,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.105,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.12,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.135,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.15,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.165,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.18,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.195,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.21,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.225,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.24,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.255,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.27,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.285,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.3,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.315,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.33,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.345,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.36,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.375,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.39,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.405,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.42,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.435,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.45,-199.99973333333332,0.04618725172839603,0.00010534628282910512,0.9999993333333334,0.9999993333333334,0.00011546812932099018,2.962864200897444e-10
10,0.465,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.48,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.495,-199.9992,0.07999599989999501,0.0002611717170854308,0.999998,0.999998,0.00019998999974998768,8.079999968765261e-10
10,0.51,-199.99946666666668,0.06531754911371235,0.00016402853582788766,-0.9999986666666666,0.9999986666666666,0.000163293872784281,5.228409600690878e-10
10,0.525,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.54,-200.0,0.0,0.0,1.0,1.0,0.0,0.0
10,0.555,-199.99946666666668,0.06531754911371233,0.0001385076606406414,0.9999986666666666,0.9999986666666666,0.00016329387278428097,4.804484497932159e-10
10,0.57,-199.99946666666668,0.06531754911371235,0.00013131370319739483,-0.9999986666666666,0.9999986666666666,0.00016329387278428097,4.678050695354997e-10
