L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
30,1.125,-1793.6392,7.273327300944642,0.04644283349376647,-0.9981742222222222,0.9981742222222222,0.002145229301776777,4.545193834253692e-09
30,1.14,-1792.98,7.695513844658675,0.05063176133981819,0.9979853333333332,0.9979853333333332,0.0022704504801285756,5.024313238792709e-09
30,1.155,-1792.2370666666666,8.074738348426873,0.054306328088727304,-0.9977651851851852,0.9977651851851852,0.002393373453588098,5.5105690122713266e-09
30,1.17,-1791.3846666666666,8.554236663133004,0.059394781608065425,-0.9975141481481482,0.9975141481481482,0.0025470319680688937,6.160846957421117e-09
30,1.185,-1790.7069333333334,8.855610947993494,0.0620522947706931,-0.9973154814814814,0.9973154814814814,0.0026496576055429905,6.582921168948995e-09
30,1.2,-1789.7634666666668,9.319373297002803,0.0670144434017273,0.9970318518518518,0.9970318518518518,0.0028008768958059436,7.263806838324698e-09
30,1.215,-1788.7062666666666,9.777735971526788,0.07195840797305848,0.9967174814814813,0.9967174814814813,0.0029570398240913154,7.996419315556828e-09
30,1.23,-1787.8409333333334,10.236237808014339,0.07695343340738885,-0.996461037037037,0.996461037037037,0.003101018748486315,8.686826809720254e-09
30,1.245,-1786.798,10.648567791022415,0.08128327392599598,-0.9961458518518517,0.9961458518518517,0.0032372870816215833,9.352992100972899e-09
30,1.26,-1785.618,11.15243214131638,0.08704735496387785,0.9957936296296295,0.9957936296296295,0.0033993868599086464,1.0190327181434077e-08
30,1.275,-1784.412,11.56914816800845,0.09148289244883775,0.9954262222222222,0.9954262222222222,0.003552414881416847,1.0997517638168231e-08
30,1.29,-1783.1025333333334,12.094225354091744,0.09766392705790794,-0.9950372592592591,0.9950372592592591,0.0037258537589653297,1.195692182044156e-08
30,1.305,-1781.7141333333334,12.576650862433747,0.10319685847598516,-0.9946097777777776,0.9946097777777776,0.003901333299578901,1.2959047692279112e-08
30,1.32,-1780.3626666666667,13.02222483124737,0.10813841671498216,-0.9941991851851852,0.9941991851851852,0.004063540104860949,1.3899291400398543e-08
30,1.335,-1778.8644,13.653522596995495,0.11622094061994868,-0.9937506666666667,0.9937506666666667,0.004249501249844252,1.5029763522615262e-08
