L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
20,0.015,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.03,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.045,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.06,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.075,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.09,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.105,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.12,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.135,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.15,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.165,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.18,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.195,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.21,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.225,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.24,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.255,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.27,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.285,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.3,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.315,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.33,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.345,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.36,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.375,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.39,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.405,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.42,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.435,-800.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.45,-799.9997333333333,0.04618725172839603,2.6336572144502474e-05,0.9999998333333333,0.9999998333333333,2.8867032330247545e-05,4.6294758150445935e-12
20,0.465,-799.9994666666666,0.06531754911371233,4.932804017869678e-05,0.9999996666666666,0.9999996666666666,4.0823468196070244e-05,8.959976130216224e-12
20,0.48,-799.9997333333333,0.04618725172839603,2.314737786137913e-05,0.9999998333333333,0.9999998333333333,2.8867032330247545e-05,4.340133576604306e-12
20,0.495,-799.9994666666666,0.06531754911371233,4.3530070350530406e-05,0.9999996666666666,0.9999996666666666,4.0823468196070244e-05,8.416947273839483e-12
20,0.51,-799.9989333333333,0.09236988446217499,8.200880031572976e-05,-0.9999993333333334,0.9999993333333334,5.773117778885942e-05,1.633769045975934e-11
20,0.525,-799.9989333333333,0.092369884462175,7.738952911427232e-05,-0.9999993333333334,0.9999993333333334,5.773117778885943e-05,1.5870899303766216e-11
20,0.54,-800.0,0.0,0.0,-1.0,1.0,0.0,0.0
